PlayerSum,DealerVisibleCard,Decision,Outcome
20,9,stand,Pending
20,9,,Win
14,10,hit,Pending
24,10,,Loss
11,10,hit,Pending
12,10,hit,Pending
18,10,stand,Pending
18,10,,Win
6,3,hit,Pending
16,3,hit,Pending
18,3,stand,Pending
18,3,,Win
20,3,stand,Pending
20,3,,Tie
13,10,hit,Pending
23,10,,Loss
20,2,stand,Pending
20,2,,Win
10,6,hit,Pending
20,6,stand,Pending
15,10,hit,Pending
18,10,stand,Pending
15,10,hit,Pending
20,10,stand,Pending
9,10,hit,Pending
16,10,hit,Pending
20,10,stand,Pending
18,10,stand,Pending
18,8,stand,Pending
12,1,hit,Pending
13,1,hit,Pending
12,8,hit,Pending
10,1,hit,Pending
20,1,stand,Pending
20,10,stand,Pending
15,5,hit,Pending
16,5,hit,Pending
20,2,stand,Pending
20,4,stand,Pending
7,3,hit,Pending
15,3,hit,Pending
20,10,stand,Pending
15,10,hit,Pending
16,10,hit,Pending
20,3,stand,Pending
13,5,hit,Pending
6,3,hit,Pending
16,3,hit,Pending
8,9,hit,Pending
15,9,hit,Pending
18,9,stand,Pending
12,10,hit,Pending
17,10,stand,Loss
16,9,hit,Pending
19,10,stand,Pending
18,1,stand,Pending
3,10,hit,Pending
7,10,hit,Pending
17,10,stand,Pending
7,10,hit,Pending
11,10,hit,Pending
21,10,stand,Pending
8,10,hit,Pending
15,10,hit,Pending
15,10,hit,Pending
21,10,stand,Pending
10,10,hit,Pending
18,10,stand,Pending
19,2,stand,Pending
17,9,stand,Pending
6,1,hit,Pending
13,1,hit,Pending
16,1,hit,Pending
20,1,stand,Pending
20,10,stand,Pending
13,10,hit,Pending
16,10,hit,Pending
19,1,stand,Pending
20,8,stand,Pending
8,5,hit,Pending
16,5,hit,Pending
12,10,hit,Pending
13,10,hit,Pending
19,4,stand,Pending
11,7,hit,Pending
21,7,stand,Pending
7,4,hit,Pending
10,4,hit,Pending
12,4,hit,Pending
13,4,hit,Pending
21,4,stand,Pending
11,3,hit,Pending
12,3,hit,Pending
13,3,hit,Pending
12,5,hit,Pending
10,2,hit,Pending
20,2,stand,Pending
18,3,stand,Pending
18,5,stand,Pending
6,10,hit,Pending
12,10,hit,Pending
19,10,stand,Pending
7,10,hit,Pending
14,10,hit,Pending
17,10,stand,Pending
20,2,stand,Pending
20,8,stand,Pending
20,4,stand,Pending
12,10,hit,Pending
17,10,stand,Pending
20,9,stand,Pending
14,10,hit,Pending
16,10,hit,Pending
21,10,stand,Pending
13,9,hit,Pending
16,3,hit,Pending
13,6,hit,Pending
18,6,stand,Pending
6,10,hit,Pending
16,10,hit,Pending
19,10,stand,Pending
9,1,hit,Pending
15,1,hit,Pending
13,10,hit,Pending
19,10,stand,Pending
13,8,hit,Pending
4,3,hit,Pending
7,3,hit,Pending
16,3,hit,Pending
10,7,hit,Pending
18,7,stand,Pending
17,4,stand,Pending
9,8,hit,Pending
18,8,stand,Pending
9,2,hit,Pending
18,2,stand,Pending
12,10,hit,Pending
10,2,hit,Pending
16,2,hit,Pending
19,2,stand,Pending
12,2,hit,Pending
20,10,stand,Pending
10,1,hit,Pending
20,1,stand,Pending
12,7,hit,Pending
20,7,stand,Pending
7,2,hit,Pending
17,2,stand,Pending
19,10,stand,Pending
17,7,stand,Pending
9,8,hit,Pending
19,8,stand,Pending
16,7,hit,Pending
13,8,hit,Pending
11,5,hit,Pending
14,5,hit,Pending
6,1,hit,Pending
14,1,hit,Pending
20,1,stand,Pending
14,1,hit,Pending
5,10,hit,Pending
13,10,hit,Pending
14,5,hit,Pending
19,5,stand,Pending
10,10,hit,Pending
15,10,hit,Pending
19,2,stand,Pending
14,10,hit,Pending
19,10,stand,Pending
19,10,stand,Pending
15,6,hit,Pending
12,3,hit,Pending
21,3,stand,Pending
9,6,hit,Pending
17,6,stand,Pending
14,7,hit,Pending
18,7,stand,Pending
3,3,hit,Pending
9,3,hit,Pending
18,3,stand,Pending
11,2,hit,Pending
13,2,hit,Pending
14,6,hit,Pending
16,6,hit,Pending
17,6,stand,Pending
14,6,hit,Pending
18,9,stand,Pending
13,10,hit,Pending
7,10,hit,Pending
14,10,hit,Pending
17,10,stand,Pending
11,8,hit,Pending
16,8,hit,Pending
19,8,stand,Pending
12,1,hit,Pending
12,10,hit,Pending
9,7,hit,Pending
16,7,hit,Pending
10,8,hit,Pending
20,8,stand,Pending
20,1,stand,Pending
13,8,hit,Pending
11,10,hit,Pending
19,10,stand,Pending
14,3,hit,Pending
20,3,stand,Pending
19,10,stand,Pending
4,6,hit,Pending
12,6,hit,Pending
18,10,stand,Pending
12,10,hit,Pending
17,10,stand,Pending
13,5,hit,Pending
10,1,hit,Pending
16,1,hit,Pending
7,9,hit,Pending
8,9,hit,Pending
18,9,stand,Pending
11,8,hit,Pending
18,8,stand,Pending
19,10,stand,Pending
7,10,hit,Pending
12,10,hit,Pending
15,10,hit,Pending
16,10,hit,Pending
13,3,hit,Pending
10,8,hit,Pending
19,8,stand,Pending
9,10,hit,Pending
19,10,stand,Pending
6,10,hit,Pending
7,10,hit,Pending
17,10,stand,Pending
7,5,hit,Pending
8,5,hit,Pending
14,5,hit,Pending
17,10,stand,Pending
12,10,hit,Pending
17,10,stand,Pending
10,10,hit,Pending
11,10,hit,Pending
17,10,stand,Pending
9,9,hit,Pending
19,9,stand,Pending
19,2,stand,Pending
16,7,hit,Pending
5,7,hit,Pending
9,7,hit,Pending
19,7,stand,Pending
14,6,hit,Pending
19,2,stand,Pending
8,10,hit,Pending
17,10,stand,Pending
14,7,hit,Pending
19,7,stand,Pending
15,1,hit,Pending
20,5,stand,Pending
18,2,stand,Pending
5,7,hit,Pending
11,7,hit,Pending
21,7,stand,Pending
9,4,hit,Pending
18,4,stand,Pending
12,5,hit,Pending
8,10,hit,Pending
18,10,stand,Pending
14,4,hit,Pending
16,4,hit,Pending
15,10,hit,Pending
17,10,stand,Pending
3,6,hit,Pending
13,6,hit,Pending
14,7,hit,Pending
16,7,hit,Pending
12,4,hit,Pending
17,4,stand,Pending
5,1,hit,Pending
6,1,hit,Pending
16,1,hit,Pending
13,9,hit,Pending
15,9,hit,Pending
19,9,stand,Pending
20,10,stand,Pending
11,3,hit,Pending
15,3,hit,Pending
10,2,hit,Pending
16,2,hit,Pending
3,10,hit,Pending
13,10,hit,Pending
19,10,stand,Pending
7,10,hit,Pending
15,10,hit,Pending
18,10,stand,Pending
13,1,hit,Pending
21,1,stand,Pending
8,10,hit,Pending
17,10,stand,Pending
19,4,stand,Pending
18,6,stand,Pending
10,10,hit,Pending
19,10,stand,Pending
15,6,hit,Pending
9,10,hit,Pending
19,10,stand,Pending
14,2,hit,Pending
20,2,stand,Pending
12,2,hit,Pending
17,2,stand,Pending
13,5,hit,Pending
15,5,hit,Pending
16,5,hit,Pending
21,5,stand,Pending
5,10,hit,Pending
15,10,hit,Pending
21,10,stand,Pending
12,9,hit,Pending
20,3,stand,Pending
12,6,hit,Pending
16,6,hit,Pending
20,6,stand,Pending
12,8,hit,Pending
13,8,hit,Pending
21,8,stand,Pending
15,10,hit,Pending
21,10,stand,Pending
12,8,hit,Pending
21,8,stand,Pending
12,10,hit,Pending
10,10,hit,Pending
16,10,hit,Pending
17,2,stand,Pending
10,8,hit,Pending
16,8,hit,Pending
19,10,stand,Pending
10,6,hit,Pending
19,6,stand,Pending
15,7,hit,Pending
7,10,hit,Pending
17,10,stand,Pending
7,3,hit,Pending
12,3,hit,Pending
16,10,hit,Pending
20,10,stand,Pending
13,8,hit,Pending
15,8,hit,Pending
20,4,stand,Pending
11,4,hit,Pending
19,4,stand,Pending
8,10,hit,Pending
16,10,hit,Pending
