player_total,dealer_card,action,win_rate
26,7,hit,0
18,11,hit,0
15,2,hit,0
19,8,hit,1
24,10,hit,0
20,2,hit,0
26,8,hit,0
20,10,hit,0.5
19,6,hit,1
19,2,hit,1
19,5,hit,1
22,10,hit,0
17,9,hit,0
18,8,hit,0
25,11,hit,0
25,7,hit,0
18,10,hit,0
21,7,hit,1
26,10,hit,0
19,4,hit,0
18,2,hit,0.5
17,6,hit,1
20,7,hit,1
20,3,hit,0
22,10,hit,0
17,2,hit,0
18,10,hit,1
16,4,hit,0
20,6,hit,1
14,5,hit,0
19,11,hit,0
20,10,hit,0
20,8,hit,1
20,9,hit,1
21,6,hit,1
16,2,hit,1
22,9,hit,0
20,7,hit,1
17,7,hit,0
23,11,hit,0
16,4,hit,1
14,5,hit,1
20,11,hit,1
17,10,hit,0.5
13,2,hit,0
